Time	statistics.connectTime (0)	statistics.connectTime (1)	statistics.connectTime (2)	PeerNetwork.retries (0)	PeerNetwork.retries (1)	PeerNetwork.retries (2)
20240528215315	2303.9000000059605	2440.2000000178814	0	0	0	0	ok
20240528215327	1036.4000000059605	1177	0	0	0	0	ok
20240528215336	0	998.7999999821186	1169.1000000238419	0	0	0	ok
20240528215345	1035.6000000238419	0	1160.199999988079	0	0	0	ok
20240528215354	0	1145.5999999940395	1265.800000011921	0	0	0	ok
20240528215403	0	1126.6000000238419	1001.6999999880791	0	0	0	ok
20240528215413	5644.199999988079	5494.799999982119	0	0	0	0	ok
20240528215427	1198	1040.800000011921	0	0	0	0	ok
20240528215436	1220.9000000059605	1051.699999988079	0	0	0	0	ok
20240528215445	1311.1000000238419	1109	0	0	0	0	ok
20240528215454	0	1158.199999988079	1283.6000000238419	0	0	0	ok
20240528215503	1199.9000000059605	0	997.6999999880791	0	0	0	ok
20240528215512	1044.0999999940395	0	1142	0	0	0	ok
20240528215522	1185.9000000059605	0	1015.8000000119209	0	0	0	ok
20240528215531	1189.6000000238419	0	1001.5	0	0	0	ok
20240528215540	0	1158.2999999821186	1017.2000000178814	0	0	0	ok
20240528215549	0	1027.5999999940395	1178.5	0	0	0	ok
20240528215558	1082.300000011921	1200.699999988079	0	0	0	0	ok
20240528215607	1212	0	989.5999999940395	0	0	0	ok
20240528215616	1207.9000000059605	1028.3999999761581	0	0	0	0	ok
20240528215626	1033.699999988079	1358.4000000059605	0	0	0	0	ok
20240528215635	1179.800000011921	1063.800000011921	0	0	0	0	ok
20240528215644	1199.7000000178814	1030.1000000238419	0	0	0	0	ok
20240528215653	1047.0999999940395	1167.5	0	0	0	0	ok
20240528215702	1249.0999999940395	1090.699999988079	0	0	0	0	ok
20240528215712	1083	1214.7999999821186	0	0	0	0	ok
20240528215721	1057.2000000178814	1198.4000000059605	0	0	0	0	ok
20240528215730	0	1076.6000000238419	1215.4000000059605	0	0	0	ok
20240528215739	1093.199999988079	1161.5999999940395	0	0	0	0	ok
20240528215749	0	1444.1000000238419	1019.8000000119209	0	0	0	ok
20240528215758	1254.0999999940395	0	1018.2000000178814	0	0	0	ok
20240528215808	1077.5999999940395	1222.2000000178814	0	0	0	0	ok
20240528215817	1282.5999999940395	0	1160.300000011921	0	0	0	ok
20240528215826	1362.4000000059605	0	1408.699999988079	0	0	0	ok
20240528215836	1307.3999999761581	0	1461.800000011921	0	0	0	ok
20240528215846	1492.7000000178814	1534.5	0	0	0	0	ok
20240528215855	0	1774.0999999940395	982.5	0	0	0	ok
20240528215904	0	1589.800000011921	1426.7999999821186	0	0	0	ok
20240528215914	2599.699999988079	0	2433.5	0	0	0	ok
20240528215926	0	1511.800000011921	1618.9000000059605	0	0	0	ok
20240528215936	1265.0999999940395	1420.699999988079	0	0	0	0	ok
20240528215945	1597.5	1520.699999988079	0	0	0	0	ok
20240528215955	2241.699999988079	1069.4000000059605	0	0	0	0	ok
20240528220004	1319.300000011921	1242.5999999940395	0	0	0	0	ok
20240528220014	1343.7999999821186	0	1373.5	0	0	0	ok
20240528220023	2813.100000023842	0	2660.5	0	0	0	ok
20240528220035	0	1460.300000011921	1255.8999999761581	0	0	0	ok
20240528220045	2676	2468.4000000059605	0	0	0	0	ok
20240528220057	0	6080.199999988079	6133.5	0	1	1	ok
20240528220111	1445.0999999940395	0	1264.3999999761581	0	0	0	ok
20240528220121	1372.0999999940395	1501.7000000178814	0	0	0	0	ok
20240528220130	0	6311.9000000059605	1170.1000000238419	0	1	0	ok
20240528220144	11829.200000017881	0	1229.199999988079	2	0	0	ok
20240528220204	1818.199999988079	0	1364.7999999821186	0	0	0	ok
20240528220214	13140.699999988079	2693.5	0	2	0	0	ok
20240528220236	11301.40000000596	11803.299999982119	0	2	3	0	ok
20240528220256	31050.09999999404	0	11446	6	0	3	ok
20240528220336	1772.2000000178814	1023.3000000119209	0	0	0	0	ok
20240528220345	1416.800000011921	1251.2999999821186	0	0	0	0	ok
20240528220355	1198.4000000059605	1586.9000000059605	0	0	0	0	ok
20240528220404	0	1064.6000000238419	11678.40000000596	0	0	4	ok
20240528220424	6109.4000000059605	6181.799999982119	0	1	1	0	ok
20240528220439	1448.2999999821186	1018.7999999821186	0	0	0	0	ok
20240528220448	11630.90000000596	11125.59999999404	0	2	2	0	ok
